,X,Y,Z
16.5,7.864721578075463e-06,5.880728272872795e-06,1.4096436397428822e-06
16.6,7.5469637148495065e-06,5.761176386107209e-06,1.2745929584167132e-06
16.7,7.488904599975163e-06,5.469307949337916e-06,1.1194422163439835e-06
16.8,7.674280217611098e-06,5.310104168411712e-06,1.14566209420003e-06
16.900000000000002,8.248963719629868e-06,5.025811008996522e-06,6.997417170797004e-07
17.0,8.342453983149719e-06,5.626545664877657e-06,4.6328321923480747e-07
17.1,9.091870709843227e-06,5.7458051804141795e-06,8.576306687488372e-07
17.2,8.899083713466203e-06,6.347816210667057e-06,3.1545270655733874e-08
17.3,8.972985946275565e-06,6.668825237026306e-06,-2.3816819275876515e-07
17.400000000000002,8.328347823637922e-06,7.123484458193496e-06,-6.786310460431363e-07
17.5,8.36605347265525e-06,6.734467705804381e-06,-6.428262332348514e-07
17.6,8.472186868439721e-06,6.454499548209155e-06,-7.355968452468821e-07
17.7,8.891150030595173e-06,6.426475604248555e-06,1.3953199439829905e-07
17.8,9.344223419569926e-06,6.1391432901077235e-06,5.766756746006304e-07
17.900000000000002,9.87836315415953e-06,6.650976875140103e-06,9.582482329344625e-07
18.0,1.0122792059242918e-05,6.522428893398943e-06,9.104492994430876e-07
18.1,1.0422475315203774e-05,6.527240197398834e-06,5.543204692237529e-07
18.2,1.0529657205670812e-05,6.300199753652137e-06,7.390444687151671e-07
18.3,1.0487966142541292e-05,6.178306679788656e-06,7.039856091440575e-07
18.400000000000002,1.1054599175914935e-05,6.651707002551102e-06,5.10760745939627e-07
18.5,1.1776735910299149e-05,6.65122954473638e-06,-2.5450036772865503e-08
18.6,1.1180641924061061e-05,7.166462185607712e-06,-7.272764028163937e-07
18.7,1.0885381005131336e-05,7.294994262304245e-06,-9.357394731797326e-07
18.8,1.015933536761272e-05,7.274551982880615e-06,-9.237773875521006e-07
18.900000000000002,9.735976476332282e-06,6.319018331096739e-06,-1.4699461834818851e-06
19.0,9.614958180980394e-06,5.624360757575383e-06,-1.2669395627284719e-06
19.1,9.157716362283418e-06,5.698209640179461e-06,-5.925538181899979e-07
19.200000000000003,9.365255214985695e-06,5.851355959842416e-06,1.7560878865583238e-07
19.3,9.88664559029739e-06,5.882460521972313e-06,8.499369795534599e-08
19.400000000000002,9.850836264654745e-06,5.9191529815502585e-06,-2.0956425312785184e-07
19.5,9.761600823965973e-06,5.631521429564715e-06,-2.1980792574964703e-07
19.6,1.0224791656287041e-05,5.7323111132323955e-06,-4.038205406351517e-07
19.700000000000003,1.0429473812057747e-05,5.788283790173625e-06,-1.873254736204204e-07
19.8,1.0157364379369056e-05,6.064575311840102e-06,1.8261990371952119e-07
19.900000000000002,9.909506993489469e-06,6.316329131219347e-06,6.727839301241603e-07
20.0,9.555462888212184e-06,6.146530593841929e-06,4.816155122234087e-07
20.1,9.80914713903757e-06,5.859115855592012e-06,9.127071865052531e-07
20.200000000000003,8.96896191090793e-06,5.134662552565395e-06,1.6752025968007373e-06
20.3,8.580770867149487e-06,4.800544981015162e-06,2.883528713386795e-06
20.400000000000002,9.016464516803748e-06,4.64702939528283e-06,3.0417678001733562e-06
20.5,9.117160848870264e-06,4.423368971203003e-06,3.4259748522145815e-06
20.6,8.950212886122378e-06,3.974669436372107e-06,3.0530089853582955e-06
20.700000000000003,8.727332396186328e-06,3.916518247232936e-06,3.6111218833480347e-06
20.8,8.554765021434425e-06,4.480739571030399e-06,3.6243711357300886e-06
20.900000000000002,8.696922863315035e-06,5.121914726291384e-06,3.6007942682862e-06
21.0,8.612804256382817e-06,5.00175033856217e-06,4.02647993557135e-06
21.1,8.682613746248611e-06,4.852140465364209e-06,3.6667199430658598e-06
21.200000000000003,8.37623846924063e-06,4.693695298788468e-06,4.243362650484942e-06
21.3,7.934945937024503e-06,4.986605821325839e-06,3.83936613111036e-06
21.400000000000002,8.468955814153583e-06,5.359146882795267e-06,3.738166353385119e-06
21.5,8.783526176774906e-06,5.206572502321756e-06,3.705596630879693e-06
21.6,8.57572859212787e-06,5.1058573082207785e-06,3.705475357478046e-06
21.700000000000003,8.833732533950948e-06,5.434207432798555e-06,3.415833299813841e-06
21.8,8.47907651955416e-06,5.5311133875575e-06,3.860873289168088e-06
21.900000000000002,9.01954457376948e-06,5.268272468031537e-06,4.332125102959039e-06
22.0,8.564398780640445e-06,5.876351473840433e-06,4.621044312464693e-06
22.1,8.565630976423627e-06,5.9962417120465885e-06,5.243861724486687e-06
22.200000000000003,8.351307912978342e-06,5.351679227565661e-06,5.5160378532979805e-06
22.3,7.918727468724113e-06,5.2570880632279286e-06,6.2123112195469e-06
22.400000000000002,7.85943540135904e-06,5.1136068987535085e-06,6.257073668987895e-06
22.5,7.457302498238677e-06,4.7980254588334096e-06,6.0260248722790194e-06
22.6,7.805533466573969e-06,4.6881086363927536e-06,6.455742805787216e-06
22.700000000000003,7.942689120214722e-06,4.9742119120136175e-06,6.737985123721774e-06
22.8,7.979709649377649e-06,4.863847026123544e-06,7.11944796257271e-06
22.900000000000002,7.478869040256583e-06,3.915267644275519e-06,6.589968645662597e-06
23.0,7.68325315202689e-06,3.6963932273418244e-06,6.770146931920568e-06
23.1,7.408058848229496e-06,3.455073561183762e-06,6.464628118133875e-06
23.200000000000003,7.796953971950945e-06,3.5046132713281345e-06,6.498670062907035e-06
23.3,7.333834364418931e-06,3.506455007000061e-06,5.87983732778428e-06
23.400000000000002,7.1035616378367116e-06,3.718999587916601e-06,5.8298501897295956e-06
23.5,6.570537886802883e-06,3.951503792031746e-06,5.141605702719978e-06
23.6,6.187901035751952e-06,4.625625751165429e-06,5.263659145635383e-06
23.700000000000003,6.350621829475421e-06,4.464209778035242e-06,5.4457403495818514e-06
23.8,6.211828834362628e-06,5.128064370842704e-06,5.015988056954644e-06
23.900000000000002,5.72978552949123e-06,5.042056958764273e-06,4.088554034009938e-06
